,sex,age,marital,is_parent,education_level,emplnw,disabled,party,ideology,race,income,hh1,number_in_hh,reg_voter,email_use,mobile_phone,home_int,broadband,smartphone,library_onsite,library_website,visit_freq,educ2_ordinal,inc_ordinal,libusea_ordinal,has_visited
0,Male,30,Never Married,No,Some College,Part Time,Yes,Democrat,Very Liberal,Hispanic,$10K-$20K,1,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,4,2,1,Yes
1,Female,77,Widowed,No,Bach Degree,Disabled,No,Democrat,Liberal,Hispanic,Unknown,1,Large City,Definitely,No,No,Unknown,Unknown,Unknown,"Yes, > 12 Mo.",Never,Unknown,6,0,1,Yes
2,Male,45,Married,Yes,Bach Degree,Part Time,No,Republican,Liberal,Hispanic,$10K-$20K,4,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,2,1,Yes
3,Male,23,Never Married,No,Bach Degree,Unemployed,No,Independent,Very Liberal,Hispanic,$75K-$100K,4,Large City,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,6,7,2,Yes
4,Male,25,Separated,No,Bach Degree,Part Time,No,Democrat,Liberal,Hispanic,$10K-$20K,1,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,6,2,2,Yes
5,Female,31,Married,Yes,Bach Degree,Full Time,No,Democrat,Liberal,Hispanic,$150K+,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,6,9,1,Yes
6,Female,56,Married,Yes,Some HS,Full Time,No,Democrat,Consrv,Hispanic,$30K-$40K,2,Small City or Town,Definitely,Yes,Yes,Yes,Unknown,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Monthly,2,4,2,Yes
7,Female,35,Married,Yes,No HS,Full Time,No,Independent,Moderate,Hispanic,$20K-$30K,2,Large City,Probably,No,Yes,Yes,Cell Phone Only,Yes,Never,Never,Unknown,1,3,0,No
8,Male,26,Married,No,Bach Degree,Unemployed,No,Independent,Liberal,Hispanic,Unknown,2,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,6,0,0,No
9,Female,19,Never Married,No,Some College,Unemployed,No,No Preference,Very Liberal,Hispanic,$75K-$100K,6,Large City,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,4,7,2,Yes
10,Male,25,Never Married,No,Bach Degree,Full Time,No,No Preference,Moderate,Hispanic,$30K-$40K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,6,4,0,No
11,Male,36,Separated,Yes,No HS,Full Time,No,Independent,Moderate,Hispanic,Refused,2,Rural,Probably,No,Yes,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Less Often,1,0,2,Yes
12,Female,69,Married,No,Bach Degree,Retired,No,Democrat,Liberal,Hispanic,$30K-$40K,2,Small City or Town,Definitely,Yes,No,Yes,Higher Speed,No,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,6,4,2,Yes
13,Male,58,Married,No,HS Grad,Full Time,No,Democrat,Moderate,Hispanic,$20K-$30K,3,Small City or Town,Definitely,Yes,Yes,Unknown,Unknown,Yes,Never,Never,Unknown,3,3,0,No
14,Male,49,Never Married,Unknown,HS Grad,Full Time,No,Democrat,Liberal,Hispanic,$50K-$75K,3,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,3,6,0,No
15,Male,17,Never Married,No,Some HS,Part Time,No,Independent,Moderate,Hispanic,$75K-$100K,3,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,2,7,1,Yes
16,Male,50,Divorced,No,HS Grad,Full Time,No,Democrat,Liberal,Hispanic,$20K-$30K,1,Large City,Probably,No,No,Unknown,Unknown,No,Never,Never,Unknown,3,3,0,No
17,Female,99,Married,Yes,Grad School,Full Time,No,No Preference,Liberal,Hispanic,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,8,9,2,Yes
18,Male,46,Married,Yes,Bach Degree,Full Time,No,Democrat,Liberal,Hispanic,$150K+,2,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, > 12 Mo.",Less Often,6,9,2,Yes
19,Female,24,Cohabitating,Yes,Some HS,Unemployed,No,Independent,Very Consrv,Hispanic,$10K-$20K,2,Suburb,Probably,Yes,No,Yes,Dial-Up,Yes,Never,Never,Unknown,2,2,0,No
20,Female,21,Never Married,Yes,No HS,Unemployed,No,Independent,Liberal,Hispanic,Unknown,3,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, < 12 Mo.",Never,Weekly,1,0,2,Yes
21,Male,23,Married,No,Some HS,Full Time,No,Republican,Very Liberal,Hispanic,<$10K,2,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,2,1,1,Yes
22,Female,35,Married,No,Some College,Full Time,No,Democrat,Moderate,Hispanic,Unknown,2,Small City or Town,Probably,Yes,Yes,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Monthly,4,0,2,Yes
23,Female,16,Never Married,No,Some HS,Unemployed,No,Unknown,Unknown,Hispanic,Unknown,1,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,2,0,2,Yes
24,Male,60,Married,No,Bach Degree,Full Time,No,Democrat,Consrv,Hispanic,$150K+,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,6,9,2,Yes
25,Female,24,Never Married,No,Bach Degree,Part Time,No,Democrat,Liberal,Hispanic,$10K-$20K,5,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,2,1,Yes
26,Male,48,Married,No,HS Grad,Disabled,Yes,Democrat,Consrv,Hispanic,Unknown,4,Small City or Town,Definitely,No,Yes,Yes,Higher Speed,Unknown,"Yes, > 12 Mo.",Never,Unknown,3,0,1,Yes
27,Male,99,Married,No,Grad School,Part Time,No,Refused,Refused,Hispanic,Refused,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,8,0,1,Yes
28,Female,16,Never Married,No,Some HS,Unemployed,Yes,Independent,Liberal,Hispanic,<$10K,1,Small City or Town,Probably,Yes,Yes,Yes,Dial-Up,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,2,1,2,Yes
29,Male,60,Married,No,Grad School,Full Time,Yes,Democrat,Moderate,Hispanic,$150K+,3,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.","Yes, > 12 Mo.",Unknown,8,9,1,Yes
30,Female,17,Never Married,No,No HS,Unemployed,No,Independent,Very Liberal,Hispanic,$40K-$50K,2,Suburb,Probably,Yes,Yes,Yes,Unknown,Yes,Never,"Yes, > 12 Mo.",Unknown,1,5,0,No
31,Male,33,Separated,No,Some College,Unemployed,No,Refused,Consrv,Hispanic,<$10K,2,Small City or Town,Probably,No,Yes,No,Unknown,Yes,Never,Never,Unknown,4,1,0,No
32,Female,75,Married,No,Some HS,Unemployed,No,Independent,Consrv,Hispanic,$10K-$20K,4,Small City or Town,Probably,No,Yes,No,Unknown,Yes,Never,Never,Unknown,2,2,0,No
33,Male,58,Married,No,Grad School,Full Time,No,Democrat,Moderate,Hispanic,$100K-$150K,6,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,8,8,2,Yes
34,Female,59,Widowed,No,Assoc Degree,Full Time,No,No Preference,Unknown,Hispanic,$40K-$50K,3,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, > 12 Mo.",Never,Unknown,5,5,1,Yes
35,Male,18,Never Married,No,Some HS,Part Time,No,Democrat,Consrv,Hispanic,Unknown,4,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,2,0,2,Yes
36,Female,63,Widowed,No,Some College,Retired,Yes,Democrat,Liberal,Hispanic,<$10K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,4,1,2,Yes
37,Male,26,Never Married,No,Some College,Part Time,No,Independent,Liberal,Hispanic,$20K-$30K,3,Rural,Probably,No,No,No,Unknown,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,4,3,2,Yes
38,Female,19,Never Married,No,Some HS,Unemployed,No,Independent,Consrv,Hispanic,<$10K,5,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,2,1,1,Yes
39,Male,19,Never Married,No,Some HS,Part Time,No,Independent,Moderate,Hispanic,Unknown,3,Large City,Unknown,Yes,Yes,No,Unknown,Yes,Never,"Yes, < 12 Mo.",Unknown,2,0,0,No
40,Male,47,Married,Unknown,No HS,Full Time,No,No Preference,Moderate,Hispanic,$20K-$30K,4,Large City,Probably,No,Yes,No,Unknown,No,Never,Never,Unknown,1,3,0,No
41,Male,36,Never Married,No,No HS,Part Time,No,Independent,Consrv,Hispanic,$20K-$30K,4,Small City or Town,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Less Often,1,3,2,Yes
42,Male,31,Married,Yes,HS Grad,Full Time,No,Independent,Consrv,Hispanic,$100K-$150K,2,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,3,8,2,Yes
43,Female,22,Married,Yes,No HS,Unemployed,No,Unknown,Liberal,Hispanic,Unknown,3,Large City,Unknown,No,No,Unknown,Unknown,Unknown,Never,Never,Unknown,1,0,0,No
44,Male,40,Separated,Yes,Some HS,Unemployed,Refused,Democrat,Moderate,Hispanic,<$10K,6,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Unknown,"Yes, < 12 Mo.",Never,Less Often,2,1,2,Yes
45,Female,36,Married,Yes,Bach Degree,Unemployed,No,Democrat,Liberal,Hispanic,$40K-$50K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,6,5,1,Yes
46,Male,26,Cohabitating,Yes,HS Grad,Full Time,No,Independent,Moderate,Hispanic,$20K-$30K,2,Large City,Probably,Yes,Yes,Yes,Dial-Up,Yes,Never,Never,Unknown,3,3,0,No
47,Female,40,Cohabitating,Yes,Some College,Unemployed,No,Democrat,Moderate,Hispanic,$30K-$40K,5,Suburb,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Weekly,4,4,2,Yes
48,Male,21,Never Married,No,Assoc Degree,Unemployed,No,Independent,Consrv,Hispanic,$30K-$40K,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,Never,Never,Unknown,5,4,0,No
49,Male,35,Never Married,No,HS Grad,Full Time,No,Independent,Moderate,Hispanic,$10K-$20K,5,Small City or Town,Probably,Yes,Yes,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Less Often,3,2,2,Yes
50,Female,57,Widowed,Yes,Some College,Full Time,Yes,Independent,Moderate,Hispanic,$40K-$50K,5,Small City or Town,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.",Never,Less Often,4,5,2,Yes
51,Female,37,Separated,Yes,HS Grad,Part Time,No,No Preference,Liberal,Hispanic,$20K-$30K,2,Small City or Town,Probably,Yes,Yes,Yes,Unknown,Yes,"Yes, < 12 Mo.",Never,Semi-Monthly,3,3,2,Yes
52,Female,20,Never Married,No,Some College,Student,Yes,Democrat,Very Liberal,Hispanic,Unknown,2,Large City,Definitely,Yes,Yes,Yes,Higher Speed,Yes,"Yes, < 12 Mo.","Yes, < 12 Mo.",Semi-Monthly,4,0,2,Yes
53,Male,42,Never Married,No,Some College,Part Time,No,Independent,Liberal,Hispanic,<$10K,1,Rural,Probably,No,No,Unknown,Unknown,Unknown,Never,Unknown,Unknown,4,1,0,No
54,Female,16,Never Married,No,Some HS,Unemployed,No,Independent,Moderate,Hispanic,<$10K,4,Small City or Town,Probably,Yes,No,No,Unknown,Yes,"Yes, < 12 Mo.",Never,Weekly,2,1,2,Yes
55,Male,28,Never Married,Yes,Assoc Degree,Student,No,Independent,Liberal,Hispanic,$10K-$20K,1,Rural,Probably,Yes,Yes,Yes,Higher Speed,Yes,"Yes, > 12 Mo.",Never,Unknown,5,2,1,Yes
56,Female,53,Never Married,No,Some College,Unemployed,No,Democrat,Moderate,Hispanic,$20K-$30K,2,Large City,Definitely,Yes,Yes,No,Unknown,Yes,Never,Never,Unknown,4,3,0,No
